评分,作品名称,豆瓣链接,封面图片
6.3,银河补习班,https://movie.douban.com/subject/30282387/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542089.jpg
8.3,我的一级兄弟,https://movie.douban.com/subject/30143333/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2548467439.jpg
7.2,花椒之味,https://movie.douban.com/subject/26935296/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567382116.jpg
7.8,柳烈的音乐专辑,https://movie.douban.com/subject/30225296/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561996109.jpg
6.5,烈火英雄,https://movie.douban.com/subject/30221757/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563630521.jpg
7.7,航海王：狂热行动,https://movie.douban.com/subject/30329892/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570039912.jpg
5.7,你是凶手,https://movie.douban.com/subject/26762744/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573691764.jpg
6.9,丧尸乐园2,https://movie.douban.com/subject/4185834/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564153041.jpg
8.1,行骗天下JP：浪漫篇,https://movie.douban.com/subject/30241102/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2549891899.jpg
6.7,准备好了没,https://movie.douban.com/subject/27594938/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561370606.jpg
8.1,我失去了身体,https://movie.douban.com/subject/33415943/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570915712.jpg
6.2,长安道,https://movie.douban.com/subject/25747204/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574145203.jpg
5.7,新喜剧之王,https://movie.douban.com/subject/4840388/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555440969.jpg
8.1,小委托人,https://movie.douban.com/subject/33404726/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561250762.jpg
7.6,阿拉丁,https://movie.douban.com/subject/26891256/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553992741.jpg
7.4,紫罗兰永恒花园外传：永远与自动手记人偶,https://movie.douban.com/subject/33424345/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578722076.jpg
6.5,大侦探皮卡丘,https://movie.douban.com/subject/26835471/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555538168.jpg
8.0,续命之徒：绝命毒师电影,https://movie.douban.com/subject/30372377/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2569548689.jpg
7.1,浪潮,https://movie.douban.com/subject/30263576/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2570438369.jpg
7.8,蜘蛛侠：英雄远征,https://movie.douban.com/subject/26931786/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558293106.jpg
6.4,小丑回魂2,https://movie.douban.com/subject/27133569/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2562980418.jpg
5.1,小小的愿望,https://movie.douban.com/subject/30235440/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2567277578.jpg
7.5,阿基米德大战,https://movie.douban.com/subject/30267284/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2556860883.jpg
7.9,明日家族,https://movie.douban.com/subject/34894678/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2580887608.jpg
7.3,朱迪,https://movie.douban.com/subject/27179039/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2570099577.jpg
6.8,谎言大师,https://movie.douban.com/subject/30167633/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2560819247.jpg
6.7,王子,https://movie.douban.com/subject/30430698/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565601745.jpg
6.3,犯罪现场,https://movie.douban.com/subject/26235346/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570879785.jpg
5.8,X战警：黑凤凰,https://movie.douban.com/subject/26667010/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555886490.jpg
7.4,伯纳黛特你去了哪,https://movie.douban.com/subject/21354767/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555983860.jpg
6.7,老师·好,https://movie.douban.com/subject/27663742/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551352209.jpg
