APP测试工程师,杭州涂鸦信息技术有限公司,1.3-2.6万/月
测试工程师,国客区块链科技（杭州）有限公司,0.8-1.5万/月
软件测试工程师（外派网易）,杭州丈浔科技有限公司,0.7-1.2万/月
测试工程师,上海柚凡信息科技有限公司,0.5-1.2万/月
高级测试工程师,杭州腾展科技股份有限公司,1.5-2.2万/月
APP测试工程师,杭州腾展科技股份有限公司,1.2-2万/月
资深软件测试工程师,杭州�v全科技发展有限公司,0.9-2万/月
嵌入式软件测试工程师,浙江东驰科技有限公司,1-1.4万/月
测试工程师（外派大华）,浙江东驰科技有限公司,1-1.5万/月
软件测试工程师,浙江东驰科技有限公司,1-1.5万/月
软件测试工程师（初、中、高级）,浙江东驰科技有限公司,0.5-1.2万/月
高级测试工程师G00013,杭州斯凯网络科技有限公司,1-1.5万/月
软件测试工程师,北京联龙博通电子商务技术有限公司,1-1.5万/月
测试工程师,北京联龙博通电子商务技术有限公司,0.8-1.5万/月
软件测试工程师 五险一金,北京联龙博通电子商务技术有限公司,1-1.5万/月
测试工程师（西湖区）,浙江云融创新科技有限公司,1.4-1.8万/月
软件测试工程师,杭州当虹科技股份有限公司,0.8-1.2万/月
性能测试工程师,杭州丈浔科技有限公司,1-1.8万/月
嵌入式测试工程师,杭州涂鸦信息技术有限公司,1-2万/月
认证测试工程师,杭州涂鸦信息技术有限公司,1-2万/月
IPC测试工程师,杭州涂鸦信息技术有限公司,1-2万/月
嵌入式测试工程师,杭州涂鸦信息技术有限公司,1-2万/月
中级测试工程师,杭州深绘智能科技有限公司,0.9-1.5万/月
测试工程师,浙江盘石信息技术股份有限公司,6-8千/月
测试开发工程师,网易集团,2.5-3万/月
测试开发工程师 ― IES杭州,字节跳动,2.5-5万/月
游戏测试开发工程师-发行方向,字节跳动,2-4万/月
资深游戏测试开发工程师-发行方向,字节跳动,2.5-5万/月
测试开发工程师―飞书,字节跳动,2-4万/月
游戏测试开发工程师,字节跳动,2-4万/月
测试开发工程师 - Technology Center005,网易集团,1.5-2万/月
资深测试开发工程师-网易严选,网易集团,2.5-3万/月
高级/资深测试开发工程师-中间件方向,网易集团,2.5-3万/月
云信资深测试开发工程师 - 杭州研究院822,网易集团,2.5-3万/月
云信资深流媒体服务端开发工程师 - 杭州研究院822,网易集团,2.5-3万/月
ゲ�`ムテストエンジニア,网易集团,1.5-2万/月
资深测试开发工程师,网易集团,2.5-3万/月
平头哥-嵌入式软件测试专家-IoT,阿里巴巴集团,
新零售技术事业群-高级测试开发工程师-阿里乡村技术部,阿里巴巴集团,
零售通技术部-资深测试开发工程师,阿里巴巴集团,
企业金融服务技术部-资深测试开发工程师,阿里巴巴集团,
人工智能实验室-高级声学测试开发工程师/专家-杭州,阿里巴巴集团,
人工智能实验室-高级系统测试开发工程师/专家-杭州,阿里巴巴集团,
新零售技术事业群-测试开发工程师/专家-淘系技术部,阿里巴巴集团,
阿里云智能事业群-测试开发工程师 / 专家-杭州/北京,阿里巴巴集团,
阿里集团-资深测试开发工程师/测试开发专家-服务器端,阿里巴巴集团,
智能服务事业部-系统测试专家-智能硬件,阿里巴巴集团,
品控管理,杭州大希地科技股份有限公司,1-1.5万/月
Java开发工程师,浙江国天物联技术有限责任公司,6-8千/月
制程质量工程师,金卡智能集团股份有限公司,0.6-1万/月
APP测试,杭州腾展科技股份有限公司,1-1.5万/月
新品质量工程师,杭州品沐电子商务有限公司,6-8千/月
测试开发工程师,浙江诺诺网络科技有限公司,1.5-2.5万/月
研发质量工程师（DQE）,杭州涂鸦信息技术有限公司,1.5-2万/月
品质工程师,浙江英树生物科技有限公司,6-8千/月
游戏测试组长,杭州腾展科技股份有限公司,0.7-1.5万/月
区块链App测试,杭州腾展科技股份有限公司,1.4-2万/月
白盒测试,杭州腾展科技股份有限公司,2-3.5万/月
高级测试开发工程师,杭州腾展科技股份有限公司,1.5-2万/月
高级洗护合规(J10359),Babycare,0.7-1.5万/月
高级食品合规(J10359),Babycare,0.7-1.5万/月
Web前端开发工程师,杭州美平米科技有限公司,2-2.5万/月
JAVA高级开发工程师,麦田春雪科贸（北京）有限公司,3-4万/月
QA工程师,浙江银江研究院有限公司,0.6-1万/月
德信旗下  软件测试（五险一金）,杭州随寓网络科技有限公司,0.7-1.4万/月
资深技术与质量工程师G01021,云集共享科技有限公司,1-2万/月
高级软件测试工程师,有荣国际电子商务（北京）有限公司,1.5-2千/月
资深音视频测试工程师,网易集团,5-7万/月
