城市地址,商铺网址,商铺名称,商品编号,商铺星级,所在区域名称,分类名称,口味评分,环境评分,服务评分,人均消费
天津,http://www.dianping.com/shop/131446930,爱芃芃私房烘焙,131446930,50,本溪路/丁字沽,面包烘焙,9.1,9.0,9.1,47
天津,http://www.dianping.com/shop/2192851,巷子深菜馆,2192851,40,鞍山道沿线,天津菜,8.2,6.1,6.9,58
天津,http://www.dianping.com/shop/122977083,ZII墨西哥餐吧,122977083,45,海光寺/六里台,西餐,8.4,8.3,8.2,65
天津,http://www.dianping.com/shop/6243334,马记大锅煮,6243334,40,王串场/民权门,快餐简餐,8.4,7.5,8.1,36
天津,http://www.dianping.com/shop/98076234,YUMMYBOXPIZZA美盒比萨,98076234,45,滨江道,西餐,8.6,9.1,9.2,96
天津,http://www.dianping.com/shop/19638489,大吉利·潮汕牛肉火锅,19638489,50,海光寺/六里台,潮汕牛肉火锅,9.3,8.8,9.1,89
天津,http://www.dianping.com/shop/17175694,桃子餐厅,17175694,50,王顶堤,天津菜,9.1,8.7,8.9,63
天津,http://www.dianping.com/shop/2003395,肥猫烤翅,2003395,45,滨江道,烤翅,8.4,7.1,7.4,57
天津,http://www.dianping.com/shop/95298758,黄记大洋芋,95298758,50,南开公园,云南菜|滇菜,9.1,9.1,9.2,33
天津,http://www.dianping.com/shop/114538538,平湖炸糕,114538538,45,白堤路/风荷园,津味小吃,8.9,8.5,8.7,5
天津,http://www.dianping.com/shop/14883137,孟村张旦纯羊汤炭烤羊腿,14883137,50,芥园道,烧烤,9.2,8.2,8.9,91
天津,http://www.dianping.com/shop/5140687,老味糕干老城里十三香果仁,5140687,45,白堤路/风荷园,津味小吃,8.6,8.2,8.3,40
天津,http://www.dianping.com/shop/21649944,阿依来新疆餐厅,21649944,50,天拖地区,新疆菜,9.2,9.1,9.1,87
天津,http://www.dianping.com/shop/4737308,九江路牛排,4737308,40,河西区,西式正餐,8.1,7.5,7.5,30
天津,http://www.dianping.com/shop/112089196,半天妖烤鱼,112089196,50,尖山,烤鱼,9.3,9.3,9.3,72
天津,http://www.dianping.com/shop/19800574,关中老碗咥面,19800574,50,西康路沿线,面馆,9.2,9.0,9.3,24
天津,http://www.dianping.com/shop/647948041,四代传承早餐 炸糕,647948041,35,海光寺/六里台,快餐简餐,7.7,7.6,7.7,7
天津,http://www.dianping.com/shop/1666923613,三个叔叔手工吐司,1666923613,45,中山路,面包烘焙,8.6,8.7,8.8,30
