name,desc,date
tongyebo,【口味】很不错，不油腻,2018年11月22日
匿名用户,还可以吧，经常光顾，但是可以出一点新品了,2018年11月18日
匿名用户,比以前的口味差一点，虽然我都吃了，哈哈哈,2018年11月17日
Loujie012,蛋糕味道很不错，奶油很新鲜，家里人过生日都是买这个。,2018年11月10日
guyuerenqing16,反正千层大临平首选！,2018年11月17日
guyuerenqing16,好吃！,2018年11月17日
helen敏敏,新鲜,2018年11月17日
UxR129638000,超级大的雪媚娘,2018年11月15日
DearMiss_jing,一直这里买蛋糕，很好吃，价格实惠！推荐！,2018年11月11日
DearMiss_jing,好吃的千层蛋糕！,2018年11月11日
DearMiss_jing,好吃！,2018年11月11日
猪不去的坏,好吃，特别好吃，就是一天不吃好，放到第二天就不好吃了,2018年9月30日
mpL540293115,蛋糕口味清淡，很喜欢，服务态度很好，美女还送了冰袋。打开时忘记拍照了，吃得差不多了才想起来，本人不是很喜欢太甜，奶油太多的蛋糕，这个裸蛋糕真正是极好的呢！如果您也不太喜欢太甜的，可以考虑一下喔！好评！好评！好评！,2018年8月20日
谢彩云243,非常好吃,2018年11月2日
lkJ873360069,他们家千层真的好吃、而且价格很实惠分量也很足,2018年10月16日
Crystal_iny,芒果太酸～奶油不够甜～。吃过两次，上次是芒果不新鲜，奶油太甜，这次直接很淡,2018年10月13日
ichen2,感觉没有以前好吃了 到店吃环境真的好差啊,2018年10月16日
给我1首歌的时间,不错的,2018年10月19日
jhh962704150,芒果有点酸，榴莲很少，作为桔子郎的招牌，选料必须慎重啊,2018年10月7日
yiraner2008,很好吃,2018年10月17日
匿名用户,味道不错哦不错哦～等着草莓味的雪媚娘～,2018年10月13日
lkJ873360069,好吃、分量又足.奶油不是很甜那种,2018年10月9日
jGy224728538,雪媚娘买了好多次了，桔子郎的味道最好，量最足！ #芒果千层蛋糕# #木糠杯# #芒果雪媚娘#,2018年10月1日
lkJ873360069,好吃、又不是很甜.分量又足,2018年10月9日
燕19870717,好吃,2018年10月8日
limonada_,最爱白白胖胖的雪媚娘，奥利奥的和木糠的很赞,2018年10月3日
做人要善良哇,好吃,2018年10月5日
lkJ873360069,他们家蛋糕真的好吃、而且水果分量也很足的.奶油又不是很甜的,2018年9月16日
匿名用户,不错不错，已经来买过很多次了。,2018年9月23日
匿名用户,在保健路那家买的榴芒蛋糕 芒果切的超大块 一点都不精致 芒果太大块太多导致 奶油没多少 吃起来不太美味 （没九曲营路买的好吃 但好像那家关了？ ）☹️,2018年8月30日
玫瑰炎炎,没以前做的好了，口感上差了……都是几年的老顾客了,2018年8月16日
iVn414718637,连冰袋都没有给一个到家以后全部化了然后味道很淡,2018年8月17日
DVy982626262,挺好的,2018年8月24日
Uhk777792417,东西味道一般，泡芙味道怪怪的，价格还行。,2018年8月13日
匿名用户,买了好几次了，味道一如既往赞。 #雪媚娘#,2018年8月10日
绝版贝贝m,上午九点订的，下午三点半去拿竟然说忘了，那么热的天又等了会，关键车还停在路边没车位，懊恼,2018年7月29日
匿名用户,不错不错，味道好极了。,2018年8月10日
王芳316,一般吧，价格高的，有可能是晚上去的关系吧,2018年8月3日
匿名用户,想吃蛋糕的时候就会想到桔子郎的这款，但觉得比以前小一些了！希望质量一直不变希望每款的质量越来越好才好哦！,2018年7月16日
玫瑰炎炎,都老顾客，没以前做的好…………,2018年8月4日
zBT154657585,实物跟图片严重不符啊，太失望了，第一次买这款,2018年6月30日
FGV401255812,很好吃,2018年7月24日
爱吃好面,听朋友介绍，期望太高。然而并没有给我惊喜,2018年7月17日
匿名用户,菜品可以，口味可以，环境可以。,2018年7月16日
曦曦ccxx,这次的没有以往的好吃，这次的奶油寡淡无味，连芒果的味道都比不上，有点失望,2018年7月3日
匿名用户,口味可以，份量也不错，挺爱吃的,2018年7月10日
匿名用户,蛋糕味道一如既往的好，口味刚刚好，不会很甜，赞,2018年7月2日
匿名用户,好吃，水果很多，价格实惠，好的呢,2018年7月1日
匿名用户,好吃,2018年7月9日
1990.4.2,挺不错的，奶油不腻，喜欢,2018年4月29日
头痛啊名字,挺好吃啊,2018年6月2日
_qq56h1375174833,很好吃，不甜不腻，芒果量很多！ #榴芒千层蛋糕#,2018年4月8日
小鱼缸_,刚搬到这边住，是朋友推荐的这家店，说橘子郎的甜品特别好吃，打电话预定以后二十分钟就可以过去取了，店铺位置也好找，5寸的两个人吃刚刚好，淡奶油不油腻，上面的芒果很甜，感觉料用的都很好的，味道特别好，下次还会来的哈哈哈,2018年2月14日
匿名用户,真的好吃，而且相对美团价格来说也比较实惠,2018年5月20日
ImO958938090,不错,2018年5月27日
美少女壮士_leo,生日必到桔子郎的夏天,2018年5月24日
ohhobaby,很大的雪胖子,2018年5月25日
lkJ873360069,他们家的我千层真的超好吃、而且料超足的.,2018年5月20日
yaoyan0205,一直是橘子郎的铁粉，经常回购,2018年5月17日
buddy622,"味道不错，新鲜，量大，
【环境】不错，干净！",2018年5月12日
mUh845644038,好吃,2018年5月1日
江南墙头草,桔子郎的夏天，额额额，干净卫生，味道不错啊！值得推荐。老板人很好，推荐说美团买会有优惠 #榴莲蛋糕# #榴芒千层蛋糕# #芒果千层蛋糕#,2018年4月2日
匿名用户,#雪媚娘# #芒果# #千层蛋糕# #雪胖子# #草莓蛋糕# #芒果千层#,2018年4月23日
养乐多xl,太甜了点，容易吃胖哈哈哈哈,2018年4月21日
ohY593261801,好吃,2018年4月21日
匿名用户,人均消费大概填了一下，现货没有很多，都要等做起来，现在感觉桔子郎都买美团货了。,2018年4月3日
龙雀8888,草莓很多 也没那么甜 不错.....,2018年4月15日
zp小公举,挺好的味道，价格实惠！！！！！！,2018年4月13日
濮1223000,经常购买，很好吃，下次还会买的。,2018年4月13日
钧玲轩,每次都是冲着雪媚娘去的，但唯一不足的是里面的馅不多！味道是还好吃的！,2018年4月3日
匿名用户,每次买雪媚娘认牢这家，口感不错，美团价格也实惠！,2018年4月3日
钧玲轩,雪媚娘的口感不错，希望里面的水果多一点那就完美了,2018年4月3日
匿名用户,雪媚娘，芒果千层蛋糕都好吃，就希望水果多放点就更好了,2018年4月3日
匿名用户,强烈推荐雪媚娘！还有芒果千层蛋糕！味道都好,2018年4月3日
Elopek,买给老弟和姑姑吃的 都说挺好吃哒,2018年3月1日
匿名用户,奔着雪媚娘，芒果千层蛋糕去的，味道好！,2018年4月3日
Zcq198304,很新鲜，好吃,2018年4月7日
xwJ867778482,团购的这个5寸 明明写着榴莲千层 店家说不能全部做全部的榴莲的 要拼 建议写清楚 别弄这种糊弄人的事 最后榴莲跟火龙果拼的 大部分都是火龙果 榴莲特别特别少,2018年3月12日
