names,direction,money,experience,condition,company,welfare
单片机工程师,东莞·东莞市市辖区,10k-16k,经验3-5年 / 大专,"移动互联网,硬件 / 不需要融资 / 15-50人",英倍达,"福利好,职位升迁,绩效奖,老板好"
嵌入式单片机工程师（可应届）,威海·环翠区,10k-20k,经验不限 / 本科,"硬件,信息安全 / 未融资 / 少于15人",威海精讯畅通电子科技有限公司,宽带薪酬
单片机工程师,东莞·东莞市市辖区,5k-10k,经验1-3年 / 大专,人工智能 / 未融资 / 15-50人,永耀科技,五险一金，包食住
单片机工程师,深圳·新安,10k-12k,经验1-3年 / 大专,"信息安全,数据服务 / 不需要融资 / 50-150人",特思威尔,年终奖金 带薪年假 集体旅游 周末双休
单片机开发工程师,西安·高新技术产业开发区,5k-8k,经验1-3年 / 本科,"其他,移动互联网 / A轮 / 15-50人",尚品信息科技,交通补助，年底奖金，五险一金等。
单片机工程师,深圳·科技园,10k-15k,经验1-3年 / 大专,"硬件,其他 / 不需要融资 / 50-150人",汇春科技,年底双薪 定期体检 员工旅游 节日福利
单片机软件开发,南京·百家湖,10k-20k,经验5-10年 / 本科,"移动互联网,其他 / 上市公司 / 500-2000人",新联电子,五险一金 年终奖金 定期体检
单片机工程师,杭州·浦沿,5k-10k,经验应届毕业生 / 本科,硬件 / 上市公司 / 500-2000人,大立科技,福利待遇 发展前景
单片机工程师,成都·高新区,5k-10k,经验1-3年 / 大专,"移动互联网,电商 / A轮 / 50-150人",亿盟恒信,社保 双休 晋升渠道
电路设计研究员（高级）(J22238),北京·亦庄,10k-20k,经验5-10年 / 本科,物联网 / 上市公司 / 2000人以上,京东方,餐补 通讯补助 班车 宿舍
电子工程师,广州·新塘,8k-12k,经验1-3年 / 本科,硬件 / 未融资 / 150-500人,特锶源,扁平化管理 五险 超长年假 发展空间大
电子工程师,广州·天河区,10k-20k,经验3-5年 / 本科,移动互联网 / 不需要融资 / 15-50人,广州英卓,物联网+AI
电路设计高级工程师,合肥·经济技术开发区,5k-10k,经验3-5年 / 本科,硬件 / 不需要融资 / 150-500人,虹美智能,硬件设计
电子电路工程师,北京·西北旺,20k-35k,经验5-10年 / 本科,房产家居 / D轮及以上 / 2000人以上,贝壳,免费三餐
电子维修工程师,惠州·惠城区,4k-8k,经验3-5年 / 大专,其他 / 天使轮 / 50-150人,大漠大智控,五险一金、带薪年假、定期体检、发展空间大
资深电子硬件工程师,北京·望京,18k-28k,经验3-5年 / 本科,移动互联网 / 未融资 / 50-150人,青岳科技,团队优秀，氛围良好，免费水果零食
资深电子工程师,深圳·南山区,16k-28k,经验5-10年 / 本科,移动互联网 / 不需要融资 / 500-2000人,Anker,项目奖 年终奖 福利佳
电子电气工程师,北京·西北旺,20k-40k,经验不限 / 本科,其他 / A轮 / 150-500人,Pony.ai 小马智行,人工智能 自动驾驶 大牛团队 发展空间大
采购工程师（电子料）,深圳·科技园,8k-15k,经验3-5年 / 大专,"硬件,软件开发 / 不需要融资 / 150-500人",博坦创新,发展前景好
品质工程师（IQC电子）,佛山·南海区,8k-10k,经验5-10年 / 大专,"硬件,移动互联网 / A轮 / 150-500人",Flexiv Robotics,斯坦福团队 AI机器人行业 高成长空间
电子硬件工程师,广州·天河区,5k-8k,经验不限 / 本科,"移动互联网,硬件 / 天使轮 / 50-150人",大气候物联网科技,年假、体检、旅游、双休、五险一金等
电子工程师,广州·市桥,6k-10k,经验3-5年 / 不限,"人工智能,物联网 / 天使轮 / 50-150人",弘日恒天,五险一金，周未双休，参与技术创新研究
电子工程师,广州·市桥,6k-8k,经验应届毕业生 / 不限,"人工智能,物联网 / 天使轮 / 50-150人",弘日恒天,五险一金，周未双休，参与技术创新研究
