电子工程师,郑州·经开区,8k-15k,经验不限 / 本科,医疗丨健康 / 天使轮 / 少于15人,光超医疗,"培训机会,优秀团队,扁平管理,岗位晋升"
硬件电路设计工程师,北京·中关村,15k-30k,经验3-5年 / 本科,人工智能 / D轮及以上 / 500-2000人,旷视MEGVII,AI独角兽
半导体电路设计专家,东莞·东莞市市辖区,40k-70k,经验5-10年 / 本科,硬件 / 不需要融资 / 2000人以上,vivo,发展前景 薪酬福利
（PCB板级） 电路设计开发,宁波·海曙区,9k-15k,经验3-5年 / 本科,"移动互联网,人工智能 / 未融资 / 50-150人",宁波工业互联网研究院,"弹性工作,带薪年假,五险一金,领导好"
高级电子工程师,广州·市桥,15k-30k,经验3-5年 / 大专,电商 / 未融资 / 150-500人,优象文化,调薪 年终奖 培训 包餐 下午茶 奖金
电子工程师,深圳·光明新区,10k-15k,经验1-3年 / 本科,人工智能 / 未融资 / 50-150人,深圳智为机器人有限公司,月薪+业绩奖金/提成
电子硬件工程师,深圳·西丽,12k-18k,经验3-5年 / 本科,"移动互联网,硬件 / A轮 / 15-50人",BrainCo.lnc,"名企孵化,强大团队,丰厚待遇"
汽车电子硬件工程师,深圳·科技园,18k-35k,经验5-10年 / 本科,硬件 / 未融资 / 2000人以上,DJI大疆创新,发展前景好，技术氛围浓，技术大牛多
电子中级工程师,深圳·上梅林,10k-15k,经验3-5年 / 本科,硬件 / 不需要融资 / 500-2000人,万睿科技,餐补 话贴 年终 旅游 员工体检
EE电子工程师(眼镜）,北京·双井,20k-40k,经验5-10年 / 本科,其他 / 不需要融资 / 500-2000人,实地地产集团有限公司,六险一金
电子电路工程师,上海·闵行区,10k-18k,经验1-3年 / 本科,其他 / 不需要融资 / 150-500人,上海太易检测,周末双休，提供住宿，午餐，年终奖
电子工程师,深圳·龙岗区,8k-15k,经验1-3年 / 不限,人工智能 / 未融资 / 500-2000人,华周测控,注重员工个人能力，技能培训 晋升发展空间
微波电路设计工程师,成都·犀浦,6k-12k,经验3-5年 / 本科,"移动互联网,电商 / 未融资 / 50-150人",高斯贝尔,五险一金、带薪年假、周末双休、餐补、房补
数字集成电路设计工程师,珠海·香洲区,8k-15k,经验3-5年 / 本科,其他 / 未融资 / 50-150人,一微半导体,弹性工作时间
